ImgName,GC_Pred
0101.png,0.95066965
0102.png,0.9826668
0103.png,0.96365786
0104.png,0.99090916
0105.png,0.97723854
0106.png,0.95227945
0107.png,6.314635e-05
0108.png,0.05621982
0109.png,0.93236446
0110.png,0.88619775
0111.png,0.9783991
0112.png,0.9179318
0113.png,0.00015571249
0114.png,0.0010389131
0115.png,0.0004131467
0116.png,0.00072886294
0117.png,0.00028522575
0118.png,1.7989283e-05
0119.png,0.00027549625
0120.png,0.0003493538
0121.png,0.91064364
0122.png,0.9471934
0123.png,0.00011025619
0124.png,0.00011165692
0125.png,0.00047052492
0126.png,0.9575937
0127.png,0.98540974
0128.png,8.248662e-05
0129.png,0.0004997191
0130.png,8.4243504e-05
0131.png,1.4624144e-05
0132.png,4.1701795e-05
0133.png,0.00087216514
0134.png,0.00029372124
0135.png,0.00026621707
0136.png,0.98390967
0137.png,0.95547175
0138.png,0.0034315914
0139.png,0.0025950344
0140.png,0.9784645
0141.png,0.00015556187
0142.png,0.00015005945
0143.png,0.00071224646
0144.png,0.00023887311
0145.png,0.0006489621
0146.png,0.95118403
0147.png,0.97577226
0148.png,0.98241615
0149.png,0.00016712045
0150.png,0.00044456276
0151.png,0.0003324854
0152.png,0.00035161755
0153.png,0.9553106
0154.png,0.9730916
0155.png,0.98954016
0156.png,0.0003494128
0157.png,0.97470945
0158.png,0.00030626674
0159.png,8.5432075e-05
0160.png,0.00026191797
0161.png,0.00010543358
0162.png,0.00014647612
0163.png,0.9281904
0164.png,0.97674197
0165.png,0.7823002
0166.png,0.94916946
0167.png,0.00026596792
0168.png,6.03083e-05
0169.png,0.00032081784
0170.png,0.0012538407
0171.png,0.9710696
0172.png,0.9814626
0173.png,0.9630545
0174.png,0.98183125
0175.png,0.9922023
0176.png,0.97139156
0177.png,0.963904
0178.png,0.022111593
0179.png,0.10507274
0180.png,0.97745126
0181.png,0.9945846
0182.png,0.96790624
0183.png,0.97226125
0184.png,0.98978174
0185.png,0.93489873
0186.png,0.03041749
0187.png,0.0005511099
0188.png,0.00022899546
0189.png,0.9854827
0190.png,0.9692416
0191.png,0.9900034
0192.png,0.9768562
0193.png,0.97794765
0194.png,0.00081874535
0195.png,0.00087600213
0196.png,0.9387957
0197.png,0.9901399
0198.png,0.97607464
0199.png,0.7773862
0200.png,0.0006887721
